Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,intake_is_dead,outcome_is_dead,was_outcome_alive
A002500,PENELOPE,DOG,WHITE,,Spayed,2008-12-09,14.0,2017-07-02,NORMAL,CONFISCATE,POLICE,,2017-07-03,"4600 E OCEAN BLVD, LONG BEACH, CA 90803",LONG BEACH,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A226033,SNOOPY,DOG,WHITE,,Neutered,2002-02-23,21.0,2017-10-08,NORMAL,STRAY,OTC,,2017-10-08,"13200 BLK ACORO PL, CERRITOS, CA 90703",CERRITOS,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A234250,NINA,DOG,BR BRINDLE,,Spayed,2008-08-01,15.0,2018-06-01,ILL SEVERE,CONFISCATE,CRUELTY,,2018-06-07,"1900 W BURNETT ST, LONG BEACH, CA 90810",LONG BEACH,EUTHANASIA,ILL SEVERE,Alive on Intake,TRUE,0
A238953,CECE,DOG,BUFF,,Female,2013-07-17,10.0,2017-01-03,NORMAL,STRAY,FIELD,,2017-01-03,"400 E HULLET ST, LONG BEACH, CA 90805",LONG BEACH,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A242600,BARBY,DOG,BLACK,,Spayed,2007-10-27,15.0,2020-11-18,NORMAL,OWNER SURRENDER,OTC,,2020-11-19,"2000 BLK W COWLES ST, LONG BEACH, CA 90813",LONG BEACH,RESCUE,LIVELOVE,Alive on Intake,FALSE,1
A279626,LANE,DOG,BROWN,,Neutered,2006-06-07,17.0,2017-10-21,NORMAL,STRAY,FIELD,,2017-10-26,"1800 BLK OBISPO AVE, SIGNAL HILL, CA 90755",SIGNAL HILL,RETURN TO OWNER,FRE RID HM,Alive on Intake,FALSE,1
A282135,WHISKEY,DOG,WHITE,,Neutered,2003-07-07,20.0,2021-02-06,INJURED  MILD,STRAY,FIELD,,2021-02-06,"1830 E PACIFIC COAST HWY, LONG BEACH, CA 90806",LONG BEACH,RETURN TO OWNER,MICROCHIP,Alive on Intake,FALSE,1
A285440,CHUIE,DOG,BROWN,,Neutered,,,2018-12-01,NORMAL,STRAY,OTC,,2018-12-01,"30TH ST / PINE AVE, LONG BEACH, CA 90806",LONG BEACH,RETURN TO OWNER,WALKIN,Alive on Intake,FALSE,1
A287459,PADFOOT,DOG,BLACK,,Neutered,2009-02-09,14.0,2017-03-18,NORMAL,STRAY,OTC,,2017-03-18,"E SPRING ST / CLARK AVE, LONG BEACH, CA 90815",LONG BEACH,RETURN TO OWNER,PHONE,Alive on Intake,FALSE,1
A291709,COCO JR.,DOG,BROWN,,Neutered,2011-10-31,11.0,2018-10-31,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2018-11-01,"2300 BLK SAN FRANSICO AVE, LONG BEACH, CA 90806",LONG BEACH,TRANSFER,SPCALA,Alive on Intake,FALSE,1
